timestamp,vehicle_id,route
0,vehicle_10001,-93 91 -57 55 -19 25 86 119
0,vehicle_10002,-73 -47 -21 19 -55 57 -91 93
0,vehicle_10003,-121 -86 78 -71 73
0,vehicle_10004,-73 -47 -21 19 -55 57 -91
0,vehicle_10005,-138 -107 -19 21 48 -66
0,vehicle_10006,-78 -25 19 -55 57 -131
0,vehicle_10007,-138 -107 -19 21 48 -66
0,vehicle_10008,-47 -21 19 -55 57 -91 93
0,vehicle_10009,-55 57 -131
0,vehicle_100010,91 -57 55
0,vehicle_100011,131 -57 55 -19 25 86 119
0,vehicle_100012,-55 57 -91
0,vehicle_100013,131 -57 55 -19 25 86 119
0,vehicle_100014,-138 -107 -55 57 -91
0,vehicle_100015,-55 57 -131
0,vehicle_100016,131 -57 55
0,vehicle_100017,-73 -47 -21 19 -55 57 -91
0,vehicle_100018,-55 57 -131
0,vehicle_100019,-47 -21 19 -55 57 -91 93
0,vehicle_100020,131 -57 55
300,vehicle_10001,-93 -14 -3 7 25 86 119
300,vehicle_10002,-73 -47 -21 19 -55 57 -91 93
300,vehicle_10003,-121 -86 78 -71 73
300,vehicle_10004,-73 -47 -21 19 -55 57 -91
300,vehicle_10005,-138 -107 -55 -9 5 17 41
300,vehicle_10006,-78 -25 19 -55 57 -131
300,vehicle_10007,-138 -107 -55 -9 5 17 41
300,vehicle_10008,-47 -21 -7 3 14 93
300,vehicle_10009,-55 57 -131
300,vehicle_100010,91 -57 55
300,vehicle_100011,131 -57 55 -19 25 86 119
300,vehicle_100012,-55 57 -91
300,vehicle_100013,131 -57 55 -19 25 86 119
300,vehicle_100014,-138 -107 -55 57 -91
300,vehicle_100015,-55 57 -131
300,vehicle_100016,131 -57 55
300,vehicle_100017,-73 -47 -21 19 -55 57 -91
300,vehicle_100018,-55 57 -131
300,vehicle_100019,-47 -21 19 -55 57 -91 93
300,vehicle_100020,131 -57 55
600,vehicle_10001,-93 91 -57 -9 7 25 86 119
600,vehicle_10002,-73 -47 -21 -7 9 57 -91 93
600,vehicle_10003,-121 -86 78 -71 73
600,vehicle_10004,-73 -47 -21 -7 9 57 -91
600,vehicle_10005,-138 -107 -55 -9 5 17 41
600,vehicle_10006,-78 -25 -7 9 57 -131
600,vehicle_10007,-138 -107 -55 -9 5 17 41
600,vehicle_10008,-47 -21 -7 9 57 -91 93
600,vehicle_10009,-55 57 -131
600,vehicle_100010,91 -57 55
600,vehicle_100011,131 -57 -9 7 25 86 119
600,vehicle_100012,-55 57 -91
600,vehicle_100013,131 -57 -9 7 25 86 119
600,vehicle_100014,-138 -107 -55 57 -91
600,vehicle_100015,-55 57 -131
600,vehicle_100016,131 -57 55
600,vehicle_100017,-73 -47 -21 -7 9 57 -91
600,vehicle_100018,-55 57 -131
600,vehicle_100019,-47 -21 -7 9 57 -91 93
600,vehicle_100020,131 -57 55
900,vehicle_10001,-93 -14 -3 7 25 86 119
900,vehicle_10002,-73 -47 -21 -7 3 14 93
900,vehicle_10003,-121 -86 78 -71 73
900,vehicle_10004,-73 -47 -21 -7 3 14
900,vehicle_10005,-121 -86 78 -50 48 -66
900,vehicle_10006,-78 -25 -7 3 14 99
900,vehicle_10007,-121 -86 78 -50 48 -66
900,vehicle_10008,-47 -21 -7 3 14 93
900,vehicle_10009,-55 57 -131
900,vehicle_100010,-14 -3 9 55
900,vehicle_100011,-99 -14 -3 7 25 86 119
900,vehicle_100012,-55 -9 3 14
900,vehicle_100013,-99 -14 -3 7 25 86 119
900,vehicle_100014,-138 -107 -55 -9 3 14
900,vehicle_100015,-55 57 -131
900,vehicle_100016,131 -57 55
